City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Bartlesville,US,67.1,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
435,Lazaro Cardenas,MX,83.61,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
440,Meulaboh,ID,78.08,overcast clouds,4.1363,96.1285,Kost Pria
441,Muros,ES,63.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
442,San Patricio,US,84.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
445,Bereda,ES,62.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
446,Tautira,PF,79.23,scattered clouds,-17.7333,-149.15,Pension Oaoa
447,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
451,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
453,Tual,ID,83.1,broken clouds,-5.6667,132.75,Grand Vilia Hotel
454,Altoona,US,85.66,few clouds,40.5187,-78.3947,Cedar Grove Motel
456,Pringsewu,ID,73.11,broken clouds,-5.3582,104.9744,Urban Style by Front One
457,San Clemente,US,80.55,few clouds,33.427,-117.612,Casablanca Inn
459,Makakilo City,US,78.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
461,Lasa,IT,72.48,light rain,46.6166,10.7002,Pension Feldgärtenhof
463,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
464,Revelstoke,CA,64.42,clear sky,50.9832,-118.2023,Best Western Plus Revelstoke
467,Hillsborough,US,82.38,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
468,Samarai,PG,80.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
469,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
471,La Ronge,CA,64.62,broken clouds,55.1001,-105.2842,Northland Motor Hotel
472,Gueret,FR,70.38,overcast clouds,46.1667,1.8667,Hôtel Restaurant Campanile Guéret
473,Felanitx,ES,73.92,few clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
474,Marrakesh,MA,87.87,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
476,Valparaiso,CL,66.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
478,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
480,Carupano,VE,83.34,overcast clouds,10.6678,-63.2585,Hotel La dorada
481,Raga,SS,81.79,overcast clouds,8.4596,25.678,
482,Lagos,NG,76.96,moderate rain,6.5833,3.75,
483,Tucuman,AR,77.0,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
484,Moron,AR,69.49,overcast clouds,-34.6534,-58.6198,Hotel Morón
485,Katobu,ID,74.64,light rain,-4.9408,122.5276,La Ode Husein
486,Wanning,CN,78.67,overcast clouds,18.8003,110.3967,Paradise Hotel
487,Kaabong,UG,66.15,overcast clouds,3.4836,34.1492,Rock Motel Ltd
488,Antalaha,MG,71.92,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
489,Puerto Baquerizo Moreno,EC,76.19,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
490,Tall Kayf,TR,70.14,broken clouds,37.0833,41.0667,
491,Pascagoula,US,84.25,broken clouds,30.3658,-88.5561,Regency Inn
492,San Cristobal,VE,82.58,clear sky,7.7669,-72.225,Pirineos
494,Luklukan,PH,78.31,overcast clouds,14.3254,122.7124,Nipa Nipa Beach
495,Gat,IL,68.81,clear sky,31.61,34.7642,OlusHome
496,Labuhan,ID,79.52,overcast clouds,-6.8844,112.2051,DoubleFAG
498,Capitan Bado,PY,69.73,overcast clouds,-23.2667,-55.5333,Hotel Suiza
501,Tucurui,BR,82.53,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
502,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
503,Sorong,ID,77.67,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
504,Gucheng,CN,68.18,few clouds,35.9115,111.3192,古城宾馆
505,Chapada Dos Guimaraes,BR,80.26,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
506,Una,IN,85.08,overcast clouds,20.8167,71.0333,Hotel Harbhole
509,Monte Alegre,BR,83.23,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
510,Moanda,GA,71.64,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
